SPEC_CODE,C,O,F,Genus,Species,Subspecies,Common.Specific.1,Common.General.1,Taxa
DEAD,A,AU,DN,EPIPEDOBATES,ANDINUS, ,LA PLANADA,POISON-ARROW FROG,AMPHIBIAN
DEAD,A,AU,DN,DENDROBATES,ANDINUS, ,EPIPEDOBATES,ANDINUS,AMPHIBIAN
DEAL,A,AU,DN,MINYOBATES,ALTOBUEYENSIS, ,GOLDEN,POISON-ARROW FROG,AMPHIBIAN
DEAL,A,AU,DN,DENDROBATES,ALTOBUEYENSIS, ,MINYOBATES,ALTOBUEYENSIS,AMPHIBIAN
DEAN,A,AU,DN,EPIPEDOBATES,BICOLOR,,EPIPEDOBATES,TRICOLOR,AMPHIBIAN
DEAN,A,AU,DN,PHYLLOBATES,TRICOLOR,,EPIPEDOBATES,TRICOLOR,AMPHIBIAN
DEAN,A,AU,DN,PROSTHERAPIS,TRICOLOR,,EPIPEDOBATES,TRICOLOR,AMPHIBIAN
DEAN,A,AU,DN,COLOSTETHUS,ANTHONYI,,EPIPEDOBATES,TRICOLOR,AMPHIBIAN
DEAN,A,AU,DN,COLOSTETHUS,PARADOXUS,,EPIPEDOBATES,TRICOLOR,AMPHIBIAN
DEAN,A,AU,DN,DENDROBATES,TRICOLOR,,EPIPEDOBATES,TRICOLOR,AMPHIBIAN
DEAN,A,AU,DN,EPIPEDOBATES,TRICOLOR, ,PHANTASMAL,POISON-ARROW FROG,AMPHIBIAN
